library,path,html_url,repository_full_name
from%2Bbastionlab.json,tests/test_dtypes.py,https://github.com/AndreIglesias/release-based-ci/blob/b521e7e248c269c3570b0824c4ddaac0ad4d789e/tests/test_dtypes.py,AndreIglesias/release-based-ci
from%2Bbastionlab.json,tests/test_dtypes.py,https://github.com/mithril-security/bastionlab/blob/1937b8f562c8cdb97f1ce2fed6956014f43f2873/tests/test_dtypes.py,mithril-security/bastionlab
from%2Bbastionlab.json,bastionai/examples/distilbert.py,https://github.com/AndreIglesias/release-based-ci/blob/b521e7e248c269c3570b0824c4ddaac0ad4d789e/bastionai/examples/distilbert.py,AndreIglesias/release-based-ci
from%2Bbastionlab.json,bastionai/examples/distilbert.py,https://github.com/mithril-security/bastionlab/blob/ff88a142ed1c530bc792a067cec63524d1d6b7a1/bastionai/examples/distilbert.py,mithril-security/bastionlab
from%2Bbastionlab.json,tests/test_queries.py,https://github.com/AndreIglesias/release-based-ci/blob/b521e7e248c269c3570b0824c4ddaac0ad4d789e/tests/test_queries.py,AndreIglesias/release-based-ci
from%2Bbastionlab.json,tests/test_queries.py,https://github.com/mithril-security/bastionlab/blob/4a05f4c3b8798fa72b0a18fab9f01d3056f3ae63/tests/test_queries.py,mithril-security/bastionlab
from%2Bbastionlab.json,client/src/bastionlab/polars/utils.py,https://github.com/AndreIglesias/release-based-ci/blob/b521e7e248c269c3570b0824c4ddaac0ad4d789e/client/src/bastionlab/polars/utils.py,AndreIglesias/release-based-ci
from%2Bbastionlab.json,client/src/bastionlab/client.py,https://github.com/AndreIglesias/release-based-ci/blob/b521e7e248c269c3570b0824c4ddaac0ad4d789e/client/src/bastionlab/client.py,AndreIglesias/release-based-ci
from%2Bbastionlab.json,client/src/bastionlab/polars/utils.py,https://github.com/mithril-security/bastionlab/blob/78425f1e08c8b5354a6ce5fc9d2ddd52715424d1/client/src/bastionlab/polars/utils.py,mithril-security/bastionlab
from%2Bbastionlab.json,client/src/bastionlab/client.py,https://github.com/mithril-security/bastionlab/blob/efa9e762259c7cc3f0219657fe57c8de0dcc4ffb/client/src/bastionlab/client.py,mithril-security/bastionlab
from%2Bbastionlab.json,modules/private_rnn.py,https://github.com/EU-TEACHING/teaching-ai-toolkit/blob/80c085165ce7fc5908b8348b882da3208ef2e819/modules/private_rnn.py,EU-TEACHING/teaching-ai-toolkit
from%2Bbastionlab.json,adult_analysis/adult_dpsgd_training.py,https://github.com/umitutku/differential-privacy/blob/50636c2d845c7a4dff96e11cbab03184fc19735c/adult_analysis/adult_dpsgd_training.py,umitutku/differential-privacy
